Rank,Puzzles,AMT (s),Solved rate,1-sigma Mean (s),1-sigma STD (s)
1,1 1 4 6,4.4,99.20%,4.67,1.48
2,1 1 11 11,4.41,99.60%,4.68,1.45
3,1 1 3 8,4.45,99.20%,4.69,1.48
4,1 1 1 8,4.48,98.80%,4.66,1.25
5,6 6 6 6,4.59,99.40%,4.82,1.49
6,1 1 2 12,4.63,99.10%,4.95,1.57
7,1 2 2 6,4.8,99.20%,5.16,1.61
8,1 1 10 12,4.81,99%,5.06,1.54
9,2 2 10 10,4.85,98.20%,5.13,1.63
10,1 1 1 12,4.86,99.20%,5.18,1.63
11,1 1 2 8,4.96,97.80%,5.31,1.76
12,1 1 4 8,4.99,98.10%,5.35,1.83
13,1 1 5 8,5,96.40%,5.36,1.81
14,4 6 11 11,5,98.90%,5.38,1.73
15,1 1 3 12,5.02,97.30%,5.36,1.84
16,2 2 2 12,5.02,99.10%,5.37,1.7
17,1 1 4 12,5.03,97.40%,5.45,1.85
18,1 1 12 12,5.03,99.40%,5.4,1.66
19,3 3 3 8,5.04,98%,5.4,1.8
20,1 1 2 6,5.09,98.40%,5.4,1.61
21,1 1 2 11,5.09,98.90%,5.41,1.7
22,1 2 3 4,5.1,99%,5.46,1.85
23,11 11 12 12,5.1,98.70%,5.5,1.87
24,3 7 7 8,5.11,96.70%,5.48,1.89
25,1 1 13 13,5.16,99.30%,5.45,1.66
26,1 2 4 12,5.16,97.60%,5.56,1.99
27,1 1 3 6,5.17,97.70%,5.52,1.77
28,1 1 3 9,5.17,97%,5.52,1.85
29,7 7 12 12,5.17,98.60%,5.58,1.89
30,4 6 7 7,5.18,98.60%,5.53,1.83
31,1 1 2 13,5.19,98.70%,5.49,1.78
32,1 1 5 6,5.19,96.80%,5.62,2.04
33,1 1 11 13,5.23,99.10%,5.66,1.85
34,1 6 6 12,5.24,98.70%,5.57,1.72
35,4 5 12 12,5.24,97%,5.6,1.79
36,4 6 13 13,5.24,98.70%,5.63,1.79
37,12 12 12 12,5.25,99.30%,5.73,2.14
38,2 11 11 12,5.26,97.20%,5.68,2
39,4 4 4 6,5.26,98.10%,5.61,1.94
40,1 1 1 11,5.27,97.30%,5.56,1.66
41,1 1 11 12,5.27,99.30%,5.67,1.8
42,2 7 7 12,5.29,98.70%,5.65,1.89
43,1 5 7 12,5.3,98.30%,5.87,2.12
44,10 10 12 12,5.31,98.60%,5.74,1.91
45,1 8 8 8,5.32,97.70%,5.65,1.94
46,2 2 3 8,5.33,98.10%,5.72,1.93
47,2 9 9 12,5.33,97.30%,5.74,2
48,11 11 11 12,5.33,94.80%,5.61,1.99
49,3 8 13 13,5.34,94.80%,5.68,2.06
50,9 9 12 12,5.34,98.30%,5.84,2.11
51,1 1 5 5,5.35,99.10%,5.71,1.8
52,3 3 12 12,5.36,98.70%,5.83,2.03
53,1 1 4 5,5.38,97.80%,5.77,2.02
54,1 6 8 12,5.38,96.80%,5.77,2
55,8 8 12 12,5.38,98.50%,5.8,1.95
56,3 8 11 11,5.39,96%,5.74,2.09
57,5 6 12 12,5.39,97.10%,5.78,1.81
58,11 12 12 12,5.4,97.60%,5.74,1.88
59,12 12 13 13,5.4,98.60%,5.79,1.91
60,1 1 12 13,5.42,98.70%,5.8,1.84
61,1 3 5 12,5.42,96.40%,5.79,2.1
62,5 5 12 12,5.42,98.70%,5.78,1.75
63,1 9 9 12,5.44,95.50%,5.72,1.78
64,2 3 3 12,5.44,98.60%,5.91,2.04
65,3 4 4 8,5.44,98.30%,5.85,1.94
66,3 8 10 10,5.44,95.60%,5.89,2.25
67,3 8 9 9,5.45,97%,5.83,1.98
68,2 5 5 12,5.46,98.70%,5.87,1.99
69,11 11 11 13,5.48,98.40%,6.03,2.26
70,2 12 13 13,5.49,97.10%,5.85,2.04
71,7 7 11 12,5.49,93.70%,5.78,2.05
72,1 1 3 7,5.5,96.80%,5.82,1.95
73,1 4 10 10,5.5,97.90%,5.91,2.1
74,4 4 12 12,5.51,98.60%,5.93,2.05
75,1 3 4 12,5.52,98.50%,5.95,1.97
76,5 5 11 12,5.52,96.50%,5.89,1.9
77,1 2 5 8,5.54,95.50%,5.94,2.26
78,2 2 4 6,5.54,99%,5.92,1.9
79,1 6 7 12,5.56,98.50%,5.97,1.97
80,1 8 9 12,5.56,96.50%,5.87,1.96
81,6 7 12 12,5.56,95.60%,5.93,2.03
82,1 3 10 10,5.57,97.40%,5.87,2
83,2 3 3 8,5.57,96.90%,5.94,1.94
84,3 5 5 8,5.57,96.90%,5.97,2.08
85,1 1 1 13,5.58,97.40%,5.9,1.77
86,2 3 12 12,5.58,97.40%,5.97,2
87,1 4 7 12,5.59,98.30%,5.99,2.02
88,8 8 11 13,5.6,97%,6.1,2.29
89,1 3 3 4,5.61,97.40%,5.86,1.79
90,1 8 8 12,5.61,96.30%,5.91,1.9
91,3 7 8 8,5.63,95.90%,5.99,2.03
92,7 8 12 12,5.63,96.10%,6.07,2.12
93,9 9 11 12,5.63,93.90%,5.98,2.15
94,1 2 5 12,5.64,95.40%,6.09,2.2
95,2 7 7 8,5.64,96.80%,5.94,1.99
96,4 4 11 13,5.64,97.90%,6.25,2.36
97,1 1 4 7,5.65,97.10%,5.95,2.07
98,1 1 10 13,5.65,97.90%,6.09,2.2
99,4 6 6 6,5.65,98.30%,6.02,2.07
100,5 5 7 7,5.65,97.80%,5.97,1.91
101,4 5 11 12,5.66,97.40%,6.06,2.09
102,1 6 9 12,5.67,95.40%,6.05,2.13
103,1 7 9 12,5.68,95.90%,6.08,2.24
104,2 2 12 12,5.68,98.70%,6.21,2.26
105,1 1 2 10,5.69,95.60%,5.96,1.81
106,3 7 7 7,5.69,97.40%,6.03,2.02
107,1 7 7 10,5.7,97.80%,6.17,2.18
108,4 5 5 6,5.7,97.30%,6.11,2.11
109,4 8 11 11,5.7,95.10%,6.01,1.98
110,1 2 2 10,5.71,96.60%,6.05,2.11
111,1 6 6 11,5.71,98.20%,6.18,2.24
112,3 3 4 6,5.71,97.70%,6.14,2.11
113,4 4 11 12,5.71,91.90%,6.06,2.35
114,2 2 2 3,5.72,99%,5.98,1.72
115,3 3 11 12,5.72,94.70%,6.11,2.19
116,3 6 11 11,5.72,94.40%,5.99,2.05
117,3 8 8 8,5.73,97.50%,6.09,2.14
118,12 12 12 13,5.73,97.40%,6.07,1.98
119,1 2 2 12,5.74,97.70%,6.1,1.99
120,2 8 9 9,5.74,96.30%,6.13,2.1
121,6 6 12 12,5.75,98.40%,6.31,2.35
122,8 9 12 12,5.75,96.20%,6.26,2.24
123,1 5 8 8,5.76,94.80%,6.35,2.69
124,2 2 3 12,5.76,98%,6.17,2.02
125,3 4 4 6,5.77,97.40%,6.1,1.93
126,1 5 6 12,5.79,98.50%,6.17,2.07
127,4 6 9 9,5.79,96.30%,6.17,2.22
128,6 6 11 13,5.79,97.80%,6.3,2.25
129,7 7 11 13,5.79,97.40%,6.32,2.29
130,1 4 4 12,5.81,95.60%,6.31,2.36
131,1 4 6 12,5.81,96.60%,6.23,2.41
132,9 9 11 13,5.81,96.80%,6.35,2.41
133,3 8 12 13,5.82,96%,6.19,2.2
134,1 8 10 12,5.83,95.60%,6.16,2.19
135,3 4 11 13,5.84,96.40%,6.32,2.35
136,11 13 13 13,5.85,97.80%,6.41,2.42
137,4 6 6 7,5.87,96.40%,6.23,2.1
138,1 3 6 12,5.88,96.80%,6.27,2.18
139,2 4 4 12,5.88,98.40%,6.24,2.14
140,3 6 7 7,5.88,93.30%,6.24,2.33
141,4 6 8 8,5.88,96.80%,6.31,2.23
142,1 4 5 12,5.89,95.70%,6.33,2.33
143,10 11 12 12,5.89,95.90%,6.27,2.05
144,2 4 11 11,5.9,96.20%,6.33,2.34
145,4 6 10 11,5.9,94.50%,6.3,2.39
146,4 8 10 10,5.9,97.50%,6.32,2.15
147,1 4 8 12,5.91,97.50%,6.26,2.2
148,2 10 10 12,5.91,97%,6.29,2.31
149,3 6 13 13,5.91,94.50%,6.15,1.95
150,5 6 11 12,5.91,97.20%,6.36,2.23
151,6 6 10 13,5.91,93.70%,6.43,2.68
152,10 10 11 13,5.91,97.60%,6.49,2.37
153,1 3 3 12,5.92,95.30%,6.32,2.31
154,1 7 8 9,5.92,97.10%,6.38,2.27
155,1 12 13 13,5.92,94.30%,6.25,2.17
156,3 8 10 11,5.92,94.40%,6.27,2.35
157,9 10 12 12,5.92,95.70%,6.24,2.02
158,1 11 11 12,5.93,93.40%,6.17,2.22
159,4 5 12 13,5.93,97.60%,6.42,2.16
160,1 3 6 8,5.94,95.40%,6.37,2.53
161,1 2 11 11,5.95,97.30%,6.44,2.44
162,1 6 12 12,5.95,94.50%,6.37,2.45
163,2 8 8 12,5.95,97.40%,6.47,2.44
164,3 6 6 8,5.95,97%,6.35,2.24
165,5 5 5 5,5.95,95.20%,6.36,2.16
166,3 7 10 10,5.96,97.30%,6.35,2.19
167,2 8 10 10,5.97,95.30%,6.28,2.07
168,4 6 10 10,5.97,96.30%,6.34,2.37
169,1 1 3 13,5.98,95.10%,6.36,2.13
170,1 2 6 6,5.98,97.40%,6.41,2.25
171,1 6 7 10,5.98,98.50%,6.53,2.26
172,1 2 4 4,5.99,97.10%,6.33,2.14
173,1 7 8 10,5.99,97.50%,6.41,2.3
174,4 5 5 5,5.99,97.40%,6.55,2.42
175,1 1 4 4,6.01,94.50%,6.31,2.43
176,1 2 6 12,6.01,96.80%,6.38,2.24
177,1 5 8 12,6.02,98.10%,6.51,2.23
178,1 2 10 12,6.03,97.40%,6.55,2.43
179,1 5 7 11,6.03,98.50%,6.48,2.14
180,1 10 10 12,6.03,92.30%,6.24,2.1
181,3 8 12 12,6.03,96.50%,6.47,2.46
182,2 2 11 13,6.04,98%,6.59,2.43
183,3 9 9 9,6.04,97.60%,6.47,2.16
184,1 1 6 6,6.05,97.20%,6.46,2.19
185,1 2 4 8,6.05,96.50%,6.44,2.31
186,1 6 8 9,6.05,98.20%,6.5,2.36
187,3 4 12 12,6.05,94.50%,6.52,2.48
188,4 8 13 13,6.05,94.40%,6.27,1.91
189,1 1 3 4,6.08,98%,6.4,2.03
190,1 3 9 12,6.08,96.20%,6.48,2.34
191,3 8 11 12,6.08,94.20%,6.55,2.64
192,1 1 9 13,6.09,97.20%,6.55,2.54
193,1 2 6 8,6.09,95.90%,6.41,2.33
194,1 7 8 8,6.09,96.60%,6.61,2.66
195,2 8 13 13,6.09,90.20%,6.39,2.56
196,2 11 11 11,6.09,90%,6.21,2.47
197,2 11 12 12,6.09,95.40%,6.49,2.27
198,4 7 7 8,6.09,93.80%,6.55,2.52
199,3 3 4 8,6.1,96.20%,6.43,2.14
200,2 2 11 12,6.11,92.30%,6.5,2.56
201,5 6 12 13,6.11,97.40%,6.51,2.17
202,3 3 11 13,6.12,96.90%,6.62,2.5
203,4 7 12 12,6.12,88.50%,6.51,2.85
204,2 13 13 13,6.14,91.10%,6.32,2.32
205,5 5 12 13,6.14,95.60%,6.62,2.14
206,10 13 13 13,6.14,93.20%,6.58,2.78
207,1 7 7 12,6.15,88.90%,6.28,2.32
208,2 3 11 12,6.15,94.80%,6.74,2.75
209,5 5 11 13,6.15,96.10%,6.75,2.52
210,1 2 3 10,6.16,98.40%,6.47,2
211,1 5 5 12,6.16,90.50%,6.36,2.32
212,1 5 7 13,6.16,97.90%,6.53,2.09
213,3 3 3 6,6.17,97.70%,6.71,2.56
214,3 3 3 12,6.17,96.90%,6.65,2.46
215,10 10 11 12,6.17,93.30%,6.53,2.29
216,1 4 7 8,6.19,96.60%,6.68,2.71
217,1 10 12 12,6.19,95.80%,6.81,2.94
218,8 8 11 12,6.19,90.60%,6.54,2.66
219,1 2 3 8,6.2,97%,6.61,2.38
220,4 4 10 13,6.2,93.50%,6.71,2.79
221,1 4 6 8,6.21,94.40%,6.57,2.52
222,2 2 4 5,6.21,98.30%,6.6,2.11
223,11 12 13 13,6.21,95.10%,6.69,2.43
224,1 2 2 8,6.22,93.30%,6.65,2.63
225,5 5 5 6,6.22,96.10%,6.68,2.34
226,1 1 5 7,6.23,96.40%,6.56,2.09
227,1 2 13 13,6.23,97.20%,6.93,2.69
228,7 7 12 13,6.23,93.90%,6.63,2.35
229,1 4 8 8,6.24,96.50%,6.71,2.48
230,3 11 11 12,6.24,91.40%,6.44,2.17
231,1 2 3 12,6.25,96.20%,6.8,2.53
232,1 3 8 9,6.27,92.20%,6.82,3.18
233,1 3 11 11,6.27,97.20%,6.68,2.43
234,1 4 4 5,6.27,96.90%,6.82,2.67
235,1 5 10 10,6.28,97.30%,6.65,2.3
236,1 8 10 13,6.28,94.80%,6.6,2.43
237,2 2 2 8,6.28,96.40%,6.84,2.73
238,1 4 12 12,6.29,91.20%,6.53,2.49
239,2 7 8 12,6.29,94.90%,6.73,2.56
240,4 4 5 6,6.29,95.70%,6.6,2.26
241,7 9 11 11,6.29,95.80%,6.77,2.64
242,2 12 12 13,6.3,95.50%,6.69,2.37
243,6 7 11 12,6.3,96.80%,6.84,2.59
244,4 6 12 13,6.31,93.80%,6.82,2.88
245,1 2 10 11,6.32,97.60%,6.66,2.39
246,1 5 8 9,6.32,93.90%,6.76,2.62
247,1 5 7 8,6.33,94.70%,6.71,2.42
248,4 8 9 9,6.33,90.40%,6.49,2.28
249,9 9 12 13,6.33,94%,6.69,2.25
250,8 8 8 10,6.35,90.40%,6.7,2.91
251,2 12 12 12,6.36,98.40%,6.75,2.46
252,1 8 8 9,6.37,96.30%,6.9,2.71
253,2 8 11 11,6.37,88.50%,6.55,2.78
254,4 5 13 13,6.37,87.70%,6.61,2.77
255,1 2 12 12,6.38,95.80%,6.71,2.2
256,2 8 10 11,6.38,94.70%,6.87,2.62
257,2 11 13 13,6.38,94.10%,6.88,2.52
258,1 6 7 11,6.39,97.40%,7.02,2.89
259,3 6 7 8,6.39,97.80%,6.79,2.31
260,1 2 8 8,6.4,96.10%,6.97,2.74
261,4 5 9 9,6.4,88.40%,6.64,2.72
262,1 3 3 7,6.41,95.90%,7.25,3.33
263,2 5 6 12,6.41,95.10%,6.8,2.52
264,3 6 10 11,6.41,95.80%,7.05,2.86
265,1 3 6 6,6.42,97.20%,6.89,2.58
266,1 6 6 13,6.42,97.20%,6.8,2.44
267,4 4 4 4,6.43,97.80%,7.03,2.93
268,10 10 10 13,6.43,92.90%,6.86,2.99
269,1 6 9 9,6.44,97.50%,6.87,2.52
270,2 6 6 12,6.44,97.70%,6.97,2.55
271,3 7 9 9,6.44,91%,6.87,2.78
272,1 7 8 12,6.45,95.60%,6.97,2.67
273,3 12 13 13,6.46,91%,6.62,2.29
274,6 6 11 12,6.46,88.90%,6.77,2.97
275,1 3 5 8,6.47,95.10%,7.13,2.89
276,6 10 10 10,6.47,95.70%,6.74,2.31
277,2 3 11 13,6.48,91.90%,6.91,2.78
278,1 1 3 11,6.49,94.30%,6.73,1.97
279,1 4 4 7,6.49,96.10%,7.22,3.18
280,1 2 4 6,6.5,95.90%,6.88,2.53
281,1 9 12 12,6.5,92.60%,6.86,2.82
282,3 4 5 8,6.5,96.10%,6.96,2.63
283,4 5 6 6,6.5,95.30%,6.81,2.33
284,1 3 3 5,6.51,95.10%,6.76,2.46
285,1 4 6 13,6.51,97.50%,6.96,2.39
286,2 2 2 11,6.51,92.10%,6.79,2.66
287,2 4 5 12,6.51,94.50%,6.96,2.87
288,10 11 11 13,6.51,94.70%,6.91,2.63
289,12 13 13 13,6.52,94.30%,6.85,2.44
290,3 7 11 11,6.53,88%,6.77,3.02
291,3 7 13 13,6.53,87.30%,6.67,2.74
292,4 6 7 8,6.53,95.80%,6.96,2.48
293,1 4 7 13,6.54,96.50%,7.22,2.95
294,1 5 8 10,6.54,96.30%,7.09,2.54
295,5 6 6 7,6.54,97.90%,7.06,2.44
296,1 5 10 12,6.55,92%,6.96,3.07
297,1 6 8 10,6.55,97.10%,6.98,2.39
298,3 5 11 11,6.55,94.50%,7.06,2.97
299,3 9 9 12,6.55,94.70%,6.92,2.56
300,2 10 11 12,6.56,95.90%,6.86,2.4
301,2 8 8 13,6.57,92.80%,6.94,2.55
302,7 8 11 12,6.57,96.20%,7.05,2.64
303,1 2 5 6,6.58,94.60%,7.11,2.75
304,1 7 7 11,6.58,96.80%,7.15,2.6
305,4 6 12 12,6.58,96.80%,7.03,2.42
306,1 3 13 13,6.59,97%,7.11,2.6
307,3 8 9 10,6.59,96.20%,6.95,2.46
308,3 10 10 12,6.59,94.20%,6.94,2.35
309,4 4 12 13,6.59,92%,6.95,2.49
310,1 10 11 12,6.6,94.60%,6.98,2.5
311,2 3 4 6,6.6,97.80%,7.01,2.29
312,4 6 11 12,6.6,92.80%,6.98,2.9
313,1 2 10 13,6.61,97%,7.12,2.72
314,1 3 3 9,6.61,96.70%,7.15,2.85
315,1 9 11 12,6.61,93.70%,7.05,2.97
316,2 2 8 12,6.61,98%,7.06,2.29
317,2 5 6 11,6.63,96.30%,7.12,2.59
318,3 4 10 13,6.63,96.50%,7.15,2.82
319,3 7 7 12,6.63,89.90%,6.78,2.56
320,1 2 3 6,6.65,97%,7.08,2.43
321,3 6 6 7,6.65,93.60%,7.09,2.67
322,1 12 12 12,6.66,93.40%,6.88,2.57
323,2 8 9 12,6.66,95%,7.04,2.72
324,3 3 3 3,6.67,96%,7.4,3.34
325,1 4 8 13,6.68,97.40%,7.07,2.44
326,4 4 5 5,6.68,93.20%,7.11,2.52
327,6 7 12 13,6.68,95.40%,7.17,2.72
328,1 2 5 5,6.69,95.10%,7.19,2.91
329,2 2 5 5,6.69,93.20%,7.07,2.49
330,5 6 7 7,6.69,87.80%,6.86,2.72
331,5 7 10 12,6.69,96.70%,7.13,2.44
332,1 1 6 12,6.7,91.10%,7.36,3.37
333,1 3 3 3,6.71,95.50%,7.09,2.55
334,4 5 11 11,6.72,87.20%,7.19,3.59
335,1 1 2 7,6.73,95.40%,6.96,2.07
336,1 2 5 7,6.73,95%,7.07,2.65
337,1 5 6 6,6.73,93.60%,7.41,3.4
338,9 9 10 13,6.73,90.90%,6.9,2.68
339,1 6 6 10,6.74,93.60%,7.09,3.03
340,3 3 12 13,6.74,93.30%,7.19,2.64
341,6 8 10 12,6.74,97.20%,7.28,2.79
342,2 2 2 13,6.75,93.40%,7.1,2.72
343,2 3 12 13,6.76,95.90%,7.24,2.63
344,3 3 5 6,6.76,96.20%,7.36,2.7
345,2 11 11 13,6.77,94.90%,7.28,2.84
346,4 5 7 7,6.77,91.20%,7.37,3.44
347,7 7 10 13,6.77,89.60%,7.06,3.11
348,1 2 11 13,6.78,93.50%,7.42,3.1
349,11 12 12 13,6.78,97%,7.39,2.67
350,5 7 11 11,6.79,96.10%,7.22,2.67
351,2 2 2 4,6.8,95.90%,7.13,2.48
352,3 4 5 7,6.81,96.60%,7.28,2.65
353,4 7 13 13,6.81,87.70%,7.06,2.94
354,4 8 8 8,6.81,94.60%,7.16,2.75
355,5 6 13 13,6.81,86.90%,6.91,2.69
356,8 9 11 12,6.81,95.20%,7.45,3.01
357,1 1 2 9,6.82,94.60%,7.11,2.33
358,2 4 4 8,6.82,96.40%,7.23,2.67
359,4 4 4 8,6.82,96.30%,7.38,2.8
360,2 4 13 13,6.83,95.60%,7.34,2.76
361,4 7 7 7,6.83,88.80%,7.02,3.01
362,7 9 13 13,6.83,96.30%,7.42,2.78
363,9 11 11 11,6.83,95.30%,7.21,2.76
364,1 6 8 11,6.84,97.70%,7.3,2.46
365,1 1 3 5,6.85,95.20%,7.17,2.32
366,2 6 6 8,6.85,95.50%,7.42,2.98
367,1 3 4 4,6.87,93.10%,7.15,3.02
368,1 3 10 11,6.87,96.40%,7.53,3.1
369,1 9 10 12,6.87,93.70%,7.18,2.72
370,7 8 12 13,6.87,96.40%,7.34,2.62
371,8 9 10 13,6.87,95.80%,7.37,2.65
372,1 1 4 9,6.88,93.40%,7.08,2.33
373,2 5 5 8,6.88,88%,7.04,3.06
374,6 9 12 12,6.88,89.10%,7.44,3.67
375,2 5 5 13,6.89,92%,7.28,2.71
376,2 8 12 12,6.89,95%,7.27,2.62
377,4 7 10 11,6.89,97%,7.42,2.74
378,1 11 12 12,6.9,94.20%,7.43,3.1
379,3 3 3 7,6.9,92.20%,7.32,3.12
380,3 3 3 10,6.9,94.30%,7.47,3.25
381,6 8 11 11,6.9,94.20%,7.43,3.06
382,9 10 11 12,6.9,96.10%,7.41,2.76
383,1 3 6 7,6.91,96%,7.32,2.81
384,8 9 12 13,6.91,96%,7.4,2.7
385,1 2 2 11,6.92,97.10%,7.46,2.95
386,1 8 8 11,6.92,93.30%,7.39,3.42
387,4 5 10 10,6.92,91%,7.24,3.04
388,1 2 11 12,6.93,96.90%,7.63,3.2
389,2 4 5 8,6.93,95%,7.31,2.74
390,2 5 12 12,6.93,83.20%,7.33,4.07
391,3 6 6 12,6.94,95.40%,7.6,2.84
392,4 6 9 10,6.94,93.50%,7.45,3.24
393,4 7 8 8,6.94,94%,7.33,2.53
394,5 5 10 10,6.94,86.70%,7.24,3.12
395,1 2 7 10,6.95,90.90%,7.71,4
396,2 6 10 12,6.95,95.10%,7.43,2.81
397,2 6 7 13,6.96,96.60%,7.37,2.66
398,2 9 9 11,6.96,87.30%,6.96,2.68
399,8 8 10 13,6.96,90.40%,7.35,3.05
400,1 1 8 8,6.97,89.50%,7.42,3.71
401,2 2 10 13,6.97,90.10%,7.23,3.03
402,2 2 12 13,6.97,92.10%,7.25,2.6
403,5 6 11 11,6.97,87.20%,7.18,3.13
404,11 11 12 13,6.97,94.90%,7.39,2.48
405,1 2 6 7,6.98,95.10%,7.35,2.55
406,3 8 8 9,6.98,95.50%,7.29,2.5
407,6 7 10 13,6.98,96.40%,7.5,2.75
408,9 12 12 12,6.98,82.20%,7.03,3.68
409,1 6 8 8,6.99,93%,7.31,2.92
410,4 4 4 12,6.99,96.60%,7.46,2.94
411,5 5 10 13,6.99,89.70%,7.34,3.26
412,6 8 8 8,6.99,88.10%,7.38,3.47
413,5 6 9 9,7,90.60%,7.27,2.74
414,1 3 7 13,7.01,96.80%,7.4,2.64
415,1 7 8 11,7.01,92.60%,7.4,3.08
416,3 6 9 9,7.01,94%,7.6,3.28
417,5 5 6 6,7.01,93.10%,7.48,2.79
418,5 5 13 13,7.01,85.50%,7.17,3.03
419,1 3 5 13,7.02,94.10%,7.43,2.72
420,1 8 8 10,7.02,92.40%,7.36,2.99
421,2 9 9 13,7.02,88.60%,7.08,2.5
422,1 7 7 9,7.03,96.30%,7.4,2.83
423,3 7 12 13,7.03,93.80%,7.5,3
424,8 8 9 11,7.03,89.70%,7.57,3.69
425,4 8 11 12,7.04,92.90%,7.64,3.18
426,1 7 10 12,7.05,92.60%,7.46,2.96
427,2 3 5 5,7.05,96.20%,7.57,2.94
428,2 6 7 12,7.05,92%,7.2,2.91
429,8 8 12 13,7.05,92.10%,7.35,2.65
430,8 10 11 11,7.05,94.80%,7.45,2.76
431,3 5 5 6,7.06,89.10%,7.29,3.09
432,1 3 10 12,7.07,96.40%,7.55,2.75
433,2 3 3 13,7.07,94%,7.6,2.92
434,5 5 11 11,7.08,85.80%,7.3,3.24
435,1 2 2 13,7.09,96.40%,7.64,3.12
436,2 5 9 12,7.09,95.40%,7.53,2.84
437,3 3 4 4,7.09,94.40%,7.45,2.69
438,1 2 3 5,7.1,95.40%,7.39,2.38
439,1 3 9 11,7.1,95.10%,7.65,3.15
440,2 2 7 13,7.1,96.10%,7.59,2.92
441,1 5 6 9,7.11,91.90%,7.56,3.43
442,2 6 10 10,7.11,95.70%,7.58,2.96
443,10 10 12 13,7.11,92.20%,7.43,2.6
444,1 10 12 13,7.12,94.30%,7.45,2.83
445,2 8 8 8,7.12,93.90%,7.68,3.28
446,3 4 11 12,7.12,95.10%,7.75,3.35
447,1 2 4 10,7.13,96.20%,7.62,3.17
448,4 7 12 13,7.13,92.40%,7.74,3.4
449,7 8 8 9,7.13,86.60%,7.51,3.69
450,1 3 4 11,7.14,96%,7.65,2.91
451,4 6 6 8,7.14,97.30%,7.61,2.61
452,6 6 6 11,7.14,88.70%,7.39,3.41
453,3 8 8 12,7.15,91.50%,7.62,3.1
454,2 7 7 13,7.16,86%,7.27,3.01
455,2 9 10 12,7.16,93.80%,7.49,2.83
456,3 7 11 12,7.16,90.60%,7.7,3.49
457,4 5 11 13,7.17,90.30%,7.59,3.29
458,6 6 12 13,7.17,90.30%,7.56,3.04
459,1 5 9 9,7.18,94.40%,7.69,3.15
460,3 4 5 12,7.18,97%,7.61,2.67
461,5 6 11 13,7.18,91.70%,7.75,3.37
462,1 12 12 13,7.19,94.20%,7.7,3.12
463,4 8 10 12,7.19,95.70%,7.71,2.86
464,5 9 10 10,7.19,92.80%,7.58,3.05
465,3 6 11 12,7.2,93.40%,7.7,3.18
